r,dataset,N,VTree Time,Baseline Time,VBetter
0,PubChem15.txt,100,0.00132028,0.000407097,
1,PubChem15.txt,100,0.000860764,0.000369049,
2,PubChem15.txt,100,0.000481828,0.000444445,
3,PubChem15.txt,100,0.000855989,0.00158752,⭐
4,PubChem15.txt,100,0.0116226,0.00545333,
5,PubChem15.txt,100,0.0188447,0.0157337,
6,PubChem15.txt,100,0.0419151,0.0495446,⭐
7,PubChem15.txt,100,0.111934,0.108973,
8,PubChem15.txt,100,0.328205,0.246903,
9,PubChem15.txt,100,0.723867,0.403574,
10,PubChem15.txt,100,1.25691,0.769844,
